,,,,,"Where they exist, UN/LOCODEs were used:",https://service.unece.org/trade/locode/cd.htm
,,,,,,
,,,End Points - Survey,,,
,#,Code,Ville,Province,Plus Code,G Maps
,01,4MS,4 Maisons,Maniema,6G78FH78+2R,https://www.google.com/maps/place/6G78FH78%2B2R
,02,AKY,Akye,Sud-Kivu,6G7C9P37+QG,https://www.google.com/maps/place/6G7C9P37%2BQG
,03,BAF,Bafwasende,Tshopo,6GG9X5X4+4J,https://www.google.com/maps/place/6GG9X5X4%2B4J
,04,BAG,Baego,Tshopo,6GG8Q793+RX,https://www.google.com/maps/place/6GG8Q793%2BRX
,05,BAM,Bambu,Nord-Kivu,6GCFW68H+R2,https://www.google.com/maps/place/6GCFW68H%2BR2
,06,BCN,Bac Mokole Nord,Lomami,6G67GJPR+6V,https://www.google.com/maps/place/6G67GJPR%2B6V
,07,BCS,Bac Mokole Sud,Lomami,6G67GJMV+Q2,https://www.google.com/maps/place/6G67GJMV%2BQ2
,08,BGO,Bingo,Nord-Kivu,6GGFG8FC+H6,https://www.google.com/maps/place/6GGFG8FC%2BH6
,09,BGR,Bogoro,Ituri,6GHGC75J+93,https://www.google.com/maps/place/6GHGC75J%2B93
,10,BKD,Bena-Kapuadi,Kasaï-Oriental,6G55RG48+8J,https://www.google.com/maps/place/6G55RG48%2B8J
,11,BKM,Bukama,Nord-Kivu,6GCFV2QP+JJ,https://www.google.com/maps/place/6GCFV2QP%2BJJ
,12,BKY,Bukavu,Sud-Kivu,6G9CFVX3+WR,https://www.google.com/maps/place/6G9CFVX3%2BWR
,13,BMG,Bena-Mungendi,Kasaï-Oriental,6G55RMVP+WP,https://www.google.com/maps/place/6G55RMVP%2BWP
,14,BMS,Bena-Musampa,Lomami,6G55JR6R+RF,https://www.google.com/maps/place/6G55JR6R%2BRF
,15,BNC,Beni,Nord-Kivu,6GGFFFVC+GR,https://www.google.com/maps/place/6GGFFFVC%2BGR
,16,BSK,Benseke,Kinshasa,6F7QG68C+82,https://www.google.com/maps/place/6F7QG68C%2B82
,17,BUT,Butembo,Nord-Kivu,6GGF47CX+QM,https://www.google.com/maps/place/6GGF47CX%2BQM
,18,BUX,Bunia,Ituri,6GHGH67X+29,https://www.google.com/maps/place/6GHGH67X%2B29
,19,BWR,Bwera,Nord-Kivu,6GFF898Q+P5,https://www.google.com/maps/place/6GFF898Q%2BP5
,20,BYM,Bayombe,Kasaï-Oriental,6G55P8CG+PQ,https://www.google.com/maps/place/6G55P8CG%2BPQ
,21,CYU,Cyangugu,"Western, RW",6G9CFV8H+XC,https://www.google.com/maps/place/6G9CFV8H%2BXC
,22,DEM,Demba,Kasaï-Central,6G64G749+HP,https://www.google.com/maps/place/6G64G749%2BHP
,23,DIM,Dimbelenge,Kasaï-Central,6G65C4X5+4Q,https://www.google.com/maps/place/6G65C4X5%2B4Q
,24,EGT,Eringeti,Nord-Kivu,6GGFVJ58+9Q,https://www.google.com/maps/place/6GGFVJ58%2B9Q
,25,EPU,Epulu,Ituri,6GHCCH3C+5J,https://www.google.com/maps/place/6GHCCH3C%2B5J
,26,FBM,Lubumbashi,Haut-Katanga,5GW9CF5X+WP,https://www.google.com/maps/place/5GW9CF5X%2BWP
,27,FGR,Fungurume,Lualaba,5GX898M6+7P,https://www.google.com/maps/place/5GX898M6%2B7P
,28,FIH,Kinshasa,Kinshasa,6F7QM8FC+XV,https://www.google.com/maps/place/6F7QM8FC%2BXV
,29,FKI,Kisangani,Tshopo,6GG7G56Q+58,https://www.google.com/maps/place/6GG7G56Q%2B58
,30,FMI,Kalémié,Tanganyika,6G6F35QR+GQ,https://www.google.com/maps/place/6G6F35QR%2BGQ
,31,GET,Geti,Ituri,6GHG654G+XV,https://www.google.com/maps/place/6GHG654G%2BXV
